name,value
ud1800,675
rc 350,482
rl,368
rav4 le,333
elr,517
s6,631
corolla im,571
lifted f-150 xlt 4x4,497
venture,579
cls550,542
civic hybrid,419
atlas,474
safari,698
montero,603
rendezvous,353
lifted f-150 lariat 4x4 gas,670
hr-v,347
baja,514
gs 450h,771
cube,477
c30,659
c350,611
slk300,673
g37x,493
c240,533
telluride,746
sky,521
tt,402
focus sel,452
clubman s,614
allroad,522
promaster 1500,326
sl1,801
pilot touring,463
f-350 powerstroke lariat,587
f-750,425
q5,135
cls,346
land cruiser,431
caravan,260
eclipse cross,394
grand marquis gs,784
lx,745
lr2,502
uplander,345
glc,490
m4,666
gl,237
lancer es,619
aspen,479
xk8,586
torrent,383
lx 470,486
cla,371
civic touring,720
f-450 chassis,671
wrangler rubicon,380
645i,721
rondo,498
crosstour,531
f-350 crew cab,552
cts-v,410
discovery,443
4500,381
gto,447
gls,563
accord se,532
mark lt,519
park avenue,494
ls 460,255
wrangler sahara,281
firebird,594
stratus,435
mustang gt deluxe,747
tribute,352
grand marquis ls,607
v70,404
lifted f-350 powerstroke,620
525i,545
tracker,632
i8,707
f-250 crewcab lariat 4x4,551
zephyr,636
fiesta s,580
f-450 crewcab lariat 4x4 drw,687
f-250 crewcab king ranch 4x4,569
f-350 ext cab xlt 4x4,697
focus zx4 se,678
cx7,754
f-350 crewcab king ranch 4x4,792
liberty limited,367
nitro,239
slk350,741
l200,724
a6 quattro,446
xj8,553
1 series,630
f-250 srw,708
r8,733
nv200,461
e320,408
niro,639
cl550,797
cherokee trailhawk,508
q3,506
rsx,487
745i,679
fuso,777
mpv,600
fit sport,382
rav4 hybrid,717
f-250 powerstroke lariat,789
mustang convertible,448
lifted f-350 deisel lariat,739
lifted 4runner sr5 4x4,529
gla250,565
sienna limited,625
f-350 diesel power stroke,734
eurovan,780
ssr,523
gli,710
tundra trd,601
f-350 xlt 4x4,794
aztek,742
mustang shelby gt500,709
m6,610
chassis cab,596
avalanche z71,635
impala ss,562
f-pace,621
routan,379
f-250 service,762
transit-150,444
s-type,484
five hundred limited,800
540i,790
v50,626
nv1500,751
terraza,599
classic,719
e550,663
sportage lx,802
fiesta st,696
gt-r,618
astra,705
f-350 crewcab lariat 4x4,612
montego,627
s430,554
g8,534
l300,702
w4500,786
transit connect cargo,713
fusion energi,473
f-250 king ranch,638
sunfire,584
civic vp,764
mustang shelby gt350,779
outlander es,488
ct,690
fit lx,672
ml,459
metris,633
s2000,555
m37,540
aviator,653
sprinter 3500,657
mr2 spyder,701
silverado ls,686
focus s,557
astro,503
sable,449
model x,578
hse,442
qx4,728
model s,456
monterey,753
wrangler tj,796
rx 450h,543
concorde,683
mustang premium,650
rainier,604
cadenza,558
ioniq hybrid,799
s500,609
f-350 dually,716
xj,414
ss,760
q70,645
86,700
fiesta st hatchback 4d,768
cl,570
q40,765
f-350 platinum 4x4,573
500l,602
pilot lx,694
renegade limited,549
545i,793
civic sport,646
clk320,682
gl250,749
f-550 4x4,641
continental,524
flex sel,450
s3,665
freestyle sel,722
ml550,778
f-250 lariat crew cab shor,763
lifted tacoma trd,615
cr-v se,661
model 3,652
echo,560
v60,766
superchar,783
f-350 king ranch,681
g63 amg,606
lx 570,756
mkt,591
windstar,583
flex se,706
intrepid,685
f-350 chassis,693
z3,622
2 series,723
sienna ce,568
gs 430,699
i35,655
prizm,750
640i,597
sl550,769
m45,738
ascent,725
230i,776
f-350 lariat srw 4x4,770
sts-v,785
borrego,704
rc,748
f-250 lariat 4x4,637
500e,585
lc-max energi,775
g3500,692
e500,649
glc300,736
cls500,795
ml320,624
gl550,691
s90,772
odyssey lx,608
caprice,767
g2500,773
is 200t,668
clk350,757
camry xse,759
focus rs,758
f-350 powerstroke xlt 4x4,781
xg350,640
integra,727
equus,798
cargo,791
i30,732
relay,752
f-350 lariat 4x4 diesel,761
340i,743
